[ID],[CarMadeYear],[Car Name],[Features],[Features_2],[Features_3],[Features_4],[Features_5],[Features_6],[Features_7],[Features_8],[Features_9],[Features_10],[Features_11],[Features_12],[Features_13],[Features_14],[Features_15],[Features_16],[Standard Equipment],[Standard Equipment_2],[Standard Equipment_3],[Standard Equipment_4],[Standard Equipment_5],[Standard Equipment_6],[Standard Equipment_7],[Standard Equipment_8],[Standard Equipment_9],[Standard Equipment_10],[Standard Equipment_11],[Standard Equipment_12],[Standard Equipment_13],[Standard Equipment_14],[Standard Equipment_15],[Standard Equipment_16],[Standard Equipment_17],[Standard Equipment_18],[Standard Equipment_19],[Standard Equipment_20],[Standard Equipment_21],[Standard Equipment_22],[Standard Equipment_23],[Standard Equipment_24],[Standard Equipment_25],[Standard Equipment_26],[Standard Equipment_27],[Standard Equipment_28],[Standard Equipment_29],[Standard Equipment_30],[Standard Equipment_31],[Standard Equipment_32],[Standard Equipment_33],[Standard Equipment_34],[Standard Equipment_35],[Standard Equipment_36],[Standard Equipment_37],[Standard Equipment_38],[Standard Equipment_39],[Standard Equipment_40],[Standard Equipment_41],[Standard Equipment_42],[Standard Equipment_43],[Standard Equipment_44],[Standard Equipment_45],[Standard Equipment_46],[Standard Equipment_47],[Standard Equipment_48],[Standard Equipment_49],[Standard Equipment_50],[Standard Equipment_51],[Standard Equipment_52],[Standard Equipment_53],[Standard Equipment_54],[Standard Equipment_55],[Standard Equipment_56],[Standard Equipment_57],[Standard Equipment_58],[Standard Equipment_59],[Standard Equipment_60],[Standard Equipment_61],[Standard Equipment_62],[Standard Equipment_63],[Standard Equipment_64],[Standard Equipment_65],[Standard Equipment_66],[Standard Equipment_67],[Standard Equipment_68],[Sellers Notes],[Dealer Name],[Dealer Address],[Image URL 1],[Image URL 2],[Price],[Mileage],[Fuel],[Body Style],[Engine],[Exterior Color],[Transmission],[Interior Color],[Stock #],[Drivetrain],[VIN],[Doors],[Wheelbase],[Page URL],, , 
11,2012,2012 Honda Civic Si,Air Conditioning,Alloy Wheels,AM/FM Stereo Radio,Anti-Lock Braking System,Carpeting,Center Arm Rest,Cloth Upholstery,Compact Disc Player,Console,Courtesy Lights,Driver Side Air Bag,Driver Side Remote Mirror,Dual Sport Mirrors,Front Bucket Seats,Keyless Entry,Passenger Side Air Bag,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Cargo area light,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and r,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 22,Fuel Consumption: Highway: 31,Fuel Type: Premium unleaded,Headlights off auto delay,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look door trim,MP3 player,Multi-link rear suspension,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,,,,http://www.cstatic-images.com/phototab/DMI/157417/P36606C.jpg,http://www.cstatic-images.com/phototab/DMI/157417/P36606C.02.jpg,"$25,895 ","3,953",Gasoline,Sedan,2.4L I4 16V MPFI DOHC,Silver,6-Speed Manual,Gray,P36606C,FWD,2HGFB6E55CH700593,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85871809&listingRecNum=10&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
12,2012,2012 Honda Civic SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,655 ","4,421",,,2.4L,Crystal Black Pearl,6-Speed Manual,Black,93598,,2HGFB6E54CH700486,4,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87292316&listingRecNum=11&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
13,2009,2009 Honda Civic SIHPTNV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,553 ","58,450",,,2.0L,Polished Metal Metal...,6-Speed Manual,Black,6426970,,2HGFG21569H700742,2,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87564033&listingRecNum=12&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
14,2012,2012 Honda Civic EX-L,12v Power Outlet,ABS Brakes,Air Conditioning,Alloy Wheels,AM/FM,Anti-Theft,Aux. Audio Input,Bluetooth,Carpeted Floor Mats,CD Player,Center Arm Rest,Center Console,Child Proof Door Locks,Clock,Compass And Temperature Display,Cup Holders,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: SAVE AT THE PUMP EPA 39 MPG Hwy/28 MPG City! Extra Clean, CAN YOU BELIEVE ONLY 732 MILES? Navigation, Leather Interior, Moonroof, Bluetooth, iPod/MP3 Input, Dual Zone A/C, CD Player, Satellite Radio, Aluminum Wheels CLICK IN TO SEE MORE!======KEY FEATURES ON THIS CIVIC INCLUDE: Heated Leather Seats, Navigation, Sunroof, Satellite Radio, iPod/MP3 Input, Bluetooth, CD Player, Aluminum Wheels, Dual Zone A/C MP3 Player, Privacy Glass, Remote Trunk Release, Keyless Entry, Steering Wheel Controls. EX-L with SILVER exterior and Gray Leather Seats features a 4 Cylinder Engine with 140 HP at 6500 RPM*. ======THE HONDA CIVIC IS BEST IN CLASS: Honda's excellent record of reliability makes this Civic a best bet. A perfect 5 stars for frontal impacts in government crash testing. The best resale value in its class. Better overall design quality than the Corolla, Jetta and Cobalt (JDPower ratings). Higher overall appeal than the Corolla (JDPower ratings). Great Gas Mileage: 39 MPG Hwy. ======MORE ABOUT US: The #1 Certified Honda Dealer in Texas! Horsepower calculations based on trim engine configuration. Fuel economy calculations based on original manufacturer data for trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase.",,,http://www.cstatic-images.com/phototab/DMI/21589/E048000.jpg,http://www.cstatic-images.com/phototab/DMI/21589/E048000.02.jpg,"$25,500 ",742,Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Silver,5-Speed Automatic,Stone,E048000,FWD,19XFB2F95CE048000,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87410419&listingRecNum=13&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
15,2011,2011 Honda Civic SI NAVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,394 ","14,279",,,2.0L,Dyno Blue Pearl,6-Speed Manual,Black,M311A,,2HGFA5E52BH700093,4,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87771993&listingRecNum=14&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
16,2012,2012 Honda Civic EX-L,4-Wheel Disc Brakes,A/C,ABS,Adjustable Steering Wheel,Aluminum Wheels,AM/FM Stereo,Automatic Headlights,Auxiliary Audio Input,Bluetooth Connection,Brake Assist,Bucket Seats,CD Player,Child Safety Locks,Driver Vanity Mirror,Emergency Trunk Release,Floor Mats,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: Comfortable, smartly designed, this Honda Civic sets the bar for the small car segment. Great Engine that offers both fuel-efficiency and performance, roomy and refined interior, high crash test scores! This Vehicle has passed our strenuous- ?Safety and Performance Inspection?. Call or come by to see us today for a test drive. We look forward to your business! CALL TODAY! AUTOMOBILE SALES 877-262-0297 We consistently earn our manufacturers' top awards for customer satisfaction and business practices. We are very actively involved in our community. We have for many years, and will continue to support our local schools, charities, and many civic events. We truly realize that our past, present, and future depend on loyal customers like you. Please contact us at 877-262-0297 for more information.",Jerry Damson Honda,2200 Bob Wallace Ave Sw Huntsville AL 35805 (Map),http://www.cstatic-images.com/phototab/DMI/12395/H2943A.jpg,http://www.cstatic-images.com/phototab/DMI/12395/H2943A.02.jpg,"$25,388 ",323,Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Gray,5-Speed Automatic,,H2943A,FWD,19XFB2F98CE034589,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85768187&listingRecNum=15&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
17,2012,2012 Honda Civic,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Cargo area light,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cstatic-images.com/phototab/DMI/207575/5700170.jpg,http://www.cstatic-images.com/phototab/DMI/207575/5700170.02.jpg,"$25,000 ","16,243",Gasoline,Sedan,2.4L I4 16V MPFI DOHC,Gray,6-Speed Manual,,5700170,FWD,2HGFB6E5XCH700170,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86377146&listingRecNum=16&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
18,2011,2011 Honda Civic SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,995 ","10,993",,,2.0L,Polished Metal Metal...,6-Speed Manual,Black,5128PC,,2HGFG2A57BH700058,2,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86942138&listingRecNum=17&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
19,2010,2010 Honda Civic GX,"700mm (106.3"")",ABS brakes,Air conditioning,AM/FM radio,Cylinder configuration I-4,Drive type front-wheel,Engine displacement 1.8 L,Engine liters 1.8,Power steering,Power windows,Tilt steering wheel,Transmission 5 speed automatic,"Wheel size 15""",Wheelbase 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cstatic-images.com/phototab/MDC/53/459253/629550561.jpg,http://www.cstatic-images.com/phototab/MDC/53/459253/629550562.jpg,"$24,995 ","17,959",,Sedan,1.8L I-4,Www.Gobestauto.Com,5 speed automatic,Tan,19XFA4F5XAE000369,FWD,19XFA4F5XAE000369,,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87215275&listingRecNum=18&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
20,2012,2012 Honda Civic EX-L,_bucket Seats_abs_leather_heated Seats_air Conditioning_cruise Control_power Steering_power Windows_clock,ABS,ABS (4 Wheel),Air Bags,Air Conditioning,Alloy Wheels,AM/FM Stereo,Auto Headlight On/Off,Automatic Stability Control,Bucket Seats,Center Arm Rest,Center Console,Child Safety Locks,Compact Disc Player,Cup Holders,Electric Power Steering,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,Seller's Notes: Please call for more information. What A Place! Please view our 4.9 customer rating at http://www.dealerrater.com/dealer/Youngblood-Nissan-review-15124/ Come experience excellent customer service at Youngblood.,,,http://www.cstatic-images.com/phototab/DMI/20010/86988Y.jpg,http://www.cstatic-images.com/phototab/DMI/20010/86988Y.02.jpg,"$24,993 ","10,996",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Gray,5-Speed Automatic,Gray,86988Y,FWD,19XFB2F99CE000662,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=79005786&listingRecNum=19&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
21,2009,2009 Honda Civic SI-NAVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,989 ","8,146",,,2.0L,Redline Orange Pearl,6-Speed Manual,Black,HAP120238,,2HGFG21559H700635,2,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86942095&listingRecNum=20&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
22,2012,2012 Honda Civic EX-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,987 ",21,,,1.8L,Polished Metal Metal...,5-Speed Auto,Gray,93406,,19XFB2F90CE310604,4,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85054857&listingRecNum=21&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
23,2011,2011 Honda Civic Si,4 Wheel Disc Brakes,ABS Brakes,Air Conditioning,AM/FM Radio,Anti-Whiplash Front Head Restraints,Brake Assist,Bumpers: Body-Color,CD Player,Door Mirrors: Body-Color,Driver Door Bin,Driver Vanity Mirror,Dual Front Impact Airbags,Dual Front Side Impact Airbags,Electronic Stability,Front Beverage Holders,Front Bucket Seats,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspe,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.6,Max cargo capacity: 11,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,"Seller's Notes: Here at Tim Marburger Honda we pride ourselves on putting quality on the road by putting all our cars in the hands of our certified techs who do a thorough 151 point inspection to ensure that we are putting that quality out there on a daily basis!! We also do your oil changes for life!!! Please call Justin today for internet pricing and more info on this preowned vehicle 866-829-4694 Call Justin Myrick and get the Tim Marburger Advantage on pricing. Trust the Tim Marburger Honda team as one of the most reputable names in the car business. Find out why our customers return again and again. Not all of our inventory is listed online. Please call for information on the rest of our inventory Tim Marburger Honda,""Where FRIENDS send FRIENDS!!!",Tim Marburger Honda,410 Aquadale Rd Albemarle NC 28001 (Map),http://www.cstatic-images.com/phototab/DMI/9732/HO2007A.jpg,http://www.cstatic-images.com/phototab/DMI/9732/HO2007A.02.jpg,"$24,964 ","18,097",Gasoline,Coupe,2.0L I4 16V MPFI DOHC,Taffeta White,6-Speed Manual,White,HO2007A,FWD,2HGFG2A58BH700991,2,"104""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87618673&listingRecNum=22&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
24,2011,2011 Honda Civic Si,3 Point Rear Seatbelts,3 Point Seatbelts,Adjustable Head Rests,Air Conditioning,Airbag Deactivation,Alloy Wheels,AM/FM Stereo Radio,Anti-Lock Braking System (Abs),Anti-Theft Device(S),Auto Express Down Window,Beverage Holder (S),Body-Color Bumpers,Center Console,Child Safety Locks,Color Coded Mirrors,Dual Air Bags,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspe,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Seller's Notes: Peters Auto Mall is one of the largest pre-owned auto dealerships in NC. We have 200+ cars in stock to serve everyones needs. We deal with all types of credit situations and have rates as low as 2.9% Contact Justin Shaw Today!,,,http://www.cstatic-images.com/phototab/DMI/197065/18514.jpg,http://www.cstatic-images.com/phototab/DMI/197065/18514.02.jpg,"$24,927 ","7,867",Gasoline,Sedan,2.0L I4 16V MPFI DOHC,Rallye Red,6-Speed Manual,Black,18514,FWD,2HGFA5E58BH701765,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87376019&listingRecNum=23&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%,,,
